"StudentID","Dropout","cohort","cohort.term","State","RegistrationDate","Gender","BirthYear","BirthMonth","Hispanic","AmericanIndian","Asian","Black","NativeHawaiian","White","TwoOrMoreRace","HSDip","HSDipYr","HSGPAUnwtd","EnrollmentStatus","NumColCredAttemptTransfer","NumColCredAcceptTransfer","CumLoanAtEntry","HighDeg","MathPlacement","EngPlacement","GatewayMathStatus","GatewayEnglishStatus"
20932,1,"2014-15",1,"NJ",20140825,2,1971,4,0,0,0,1,0,0,0,1,-1,-1,2,81,65,-1,0,0,0,0,0
21868,0,"2014-15",1,"NJ",20140507,2,1980,8,0,0,0,0,0,1,0,1,-1,-1,2,71,66,-1,0,0,0,0,0
21943,1,"2012-13",1,"NJ",20120426,2,1982,7,1,0,0,0,0,0,0,1,-1,-1,2,81,81,-1,0,0,0,0,0
22163,0,"2013-14",3,"NJ",20131121,2,1982,4,0,0,0,1,0,0,0,1,-1,-1,2,91,81,-1,0,0,0,0,0
22672,1,"2013-14",1,"NJ",20130827,1,1969,3,0,0,0,1,0,0,0,1,-1,-1,2,-1,96,-1,0,0,0,0,0
23538,0,"2013-14",3,"NJ",20140113,2,1981,6,0,0,1,0,0,0,0,1,-1,-1,2,-1,79,-1,2,0,0,0,0
23548,0,"2012-13",1,"NJ",20120731,1,1981,12,0,0,0,0,0,1,0,1,-1,-1,2,80,49,-1,0,0,0,0,0
23606,1,"2015-16",1,"NJ",20150817,2,1982,11,1,0,0,0,0,0,0,1,-1,-1,2,-1,79,-1,0,0,0,0,0
23897,0,"2014-15",1,"NJ",20140619,1,1982,5,1,0,0,0,0,0,0,1,-1,-1,2,93,66,-1,2,0,0,0,0
25893,1,"2012-13",1,"NJ",20120731,2,1977,4,1,0,0,0,0,0,0,1,-1,-1,2,74,25,-1,0,1,0,0,0
26047,0,"2014-15",1,"NJ",20140507,1,1990,9,0,0,0,1,0,0,0,1,-1,-1,2,65,66,-1,0,0,0,0,0
26359,0,"2015-16",1,"NJ",20150624,1,1987,2,1,0,0,0,0,0,0,1,-1,-1,2,98,91,-1,0,0,0,0,0
26367,0,"2011-12",1,"NJ",20110627,1,1993,5,0,0,1,0,0,0,0,1,2010,-1,1,-2,-2,-2,0,1,1,0,0
26404,1,"2011-12",1,"NJ",20110808,1,1993,5,1,0,0,0,0,0,0,1,2011,2.7,1,-2,-2,-2,0,1,1,1,0
26660,1,"2011-12",1,"NJ",20110726,1,1992,12,0,0,1,0,0,0,0,1,2011,-1,1,-2,-2,-2,0,0,0,0,1
